Mass Spring Dampener Position Data - Oct.31.2023. Oct 31, 2023 1:41 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.030	25.858	0.239
4.040	26.207	0.239
4.050	26.539	0.239
4.060	26.823	0.239
4.070	27.098	0.239
4.080	27.339	0.239
4.090	27.568	0.239
4.100	27.748	0.239
4.110	27.899	0.239
4.120	28.016	0.239
4.130	28.094	0.239
4.140	28.137	0.239
4.150	28.141	0.239
4.160	28.107	0.239
4.170	28.039	0.239
4.180	27.932	0.239
4.190	27.794	0.239
4.200	27.623	0.239
4.210	27.413	0.239
4.220	27.176	0.239
4.230	26.910	0.239
4.240	26.639	0.239
4.250	26.317	0.239
4.260	25.978	0.239
4.270	25.630	0.239
4.280	25.231	0.239
4.290	24.814	0.239
4.300	24.427	0.239
4.310	24.023	0.239
4.320	23.594	0.239
4.330	23.177	0.239
4.340	22.722	0.239
4.350	22.339	0.239
4.360	21.987	0.239
4.370	21.536	0.239
4.380	21.123	0.239
4.390	20.763	0.239
4.400	20.419	0.239
4.410	20.088	0.239
4.420	19.787	0.239
4.430	19.538	0.239
4.440	19.298	0.239
4.450	19.049	0.239
4.460	18.890	0.239
4.470	18.702	0.239
4.480	18.628	0.239
4.490	18.543	0.239
4.500	18.487	0.239
4.510	18.492	0.239
4.520	18.522	0.239
4.530	18.591	0.239
4.540	18.669	0.239
4.550	18.833	0.239
4.560	18.992	0.239
4.570	19.212	0.239
4.580	19.419	0.239
4.590	19.716	0.239
4.600	20.008	0.239
4.610	20.327	0.239
4.620	20.667	0.239
4.630	20.998	0.239
4.640	21.377	0.239
4.650	21.747	0.239
4.660	22.139	0.239
4.670	22.569	0.239
4.680	22.991	0.239
4.690	23.408	0.239
4.700	23.825	0.239
4.710	24.239	0.239
4.720	24.617	0.239
4.730	25.014	0.239
4.740	25.392	0.239
4.750	25.754	0.239
4.760	26.098	0.239
4.770	26.416	0.239
4.780	26.713	0.239
4.790	26.963	0.239
4.800	27.209	0.239
4.810	27.419	0.239
4.820	27.605	0.239
4.830	27.751	0.239
4.840	27.868	0.239
4.850	27.945	0.239
4.860	27.993	0.239
4.870	27.998	0.239
4.880	27.972	0.239
4.890	27.904	0.239
4.900	27.805	0.239
4.910	27.668	0.239
4.920	27.501	0.239
4.930	27.299	0.239
4.940	27.067	0.239
4.950	26.822	0.239
4.960	26.534	0.239
4.970	26.221	0.239
4.980	25.886	0.239
4.990	25.530	0.239
5.000	25.160	0.239
5.010	24.799	0.239
5.020	24.404	0.239
5.030	24.000	0.239
5.040	23.592	0.239
5.050	23.167	0.239
5.060	22.732	0.239
5.070	22.342	0.239
5.080	21.938	0.239
5.090	21.547	0.239
5.100	21.122	0.239
5.110	20.782	0.239
5.120	20.447	0.239
5.130	20.121	0.239
5.140	19.829	0.239
5.150	19.580	0.239
5.160	19.331	0.239
5.170	19.098	0.239
5.180	18.944	0.239
5.190	18.768	0.239
5.200	18.653	0.239
5.210	18.601	0.239
5.220	18.558	0.239
5.230	18.550	0.239
5.240	18.576	0.239
5.250	18.624	0.239
5.260	18.706	0.239
5.270	18.878	0.239
5.280	19.016	0.239
5.290	19.253	0.239
5.300	19.464	0.239
5.310	19.722	0.239
5.320	20.028	0.239
5.330	20.355	0.239
5.340	20.699	0.239
5.350	21.035	0.239
5.360	21.392	0.239
5.370	21.771	0.239
5.380	22.201	0.239
5.390	22.610	0.239
5.400	23.011	0.239
5.410	23.415	0.239
5.420	23.828	0.239
5.430	24.233	0.239
5.440	24.663	0.239
5.450	25.054	0.239
5.460	25.416	0.239
5.470	25.756	0.239
5.480	26.100	0.239
5.490	26.410	0.239
5.500	26.716	0.239
5.510	26.987	0.239
5.520	27.232	0.239
5.530	27.448	0.239
5.540	27.629	0.239
5.550	27.779	0.239
5.560	27.892	0.239
5.570	27.969	0.239
5.580	28.013	0.239
5.590	28.021	0.239
5.600	27.992	0.239
5.610	27.928	0.239
5.620	27.829	0.239
5.630	27.696	0.239
5.640	27.524	0.239
5.650	27.327	0.239
5.660	27.099	0.239
5.670	26.859	0.239
5.680	26.571	0.239
5.690	26.262	0.239
5.700	25.953	0.239
5.710	25.600	0.239
5.720	25.223	0.239
5.730	24.819	0.239
5.740	24.449	0.239
5.750	24.045	0.239
5.760	23.633	0.239
5.770	23.216	0.239
5.780	22.778	0.239
5.790	22.374	0.239
5.800	21.992	0.239
5.810	21.605	0.239
5.820	21.248	0.239
5.830	20.836	0.239
5.840	20.497	0.239
5.850	20.179	0.239
5.860	19.900	0.239
5.870	19.633	0.239
5.880	19.363	0.239
5.890	19.174	0.239
5.900	18.985	0.239
5.910	18.835	0.239
5.920	18.693	0.239
5.930	18.638	0.239
5.940	18.591	0.239
5.950	18.583	0.239
5.960	18.609	0.239
5.970	18.665	0.239
