Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
3.480	15.383	0.239
3.490	15.384	0.239
3.500	15.388	0.239
3.510	15.385	0.239
3.520	15.385	0.239
3.530	15.385	0.239
3.540	15.390	0.239
3.550	15.386	0.239
3.560	15.391	0.239
3.570	15.387	0.239
3.580	15.391	0.239
3.590	15.388	0.239
3.600	15.388	0.239
3.610	15.393	0.239
3.620	15.393	0.239
3.630	15.394	0.239
3.640	15.389	0.239
3.650	15.394	0.239
3.660	15.394	0.239
3.670	15.395	0.239
3.680	15.395	0.239
3.690	15.396	0.239
3.700	15.396	0.239
3.710	15.397	0.239
3.720	15.384	0.239
3.730	15.385	0.239
3.740	15.385	0.239
3.750	15.385	0.239
3.760	15.385	0.239
3.770	15.386	0.239
3.780	15.386	0.239
3.790	15.387	0.239
3.800	15.387	0.239
3.810	15.388	0.239
3.820	15.388	0.239
3.830	15.388	0.239
3.840	15.389	0.239
3.850	15.389	0.239
3.860	15.390	0.239
3.870	15.390	0.239
3.880	15.390	0.239
3.890	15.391	0.239
3.900	15.391	0.239
3.910	15.391	0.239
3.920	15.392	0.239
3.930	15.392	0.239
3.940	15.393	0.239
3.950	15.393	0.239
3.960	15.394	0.239
3.970	15.394	0.239
3.980	15.394	0.239
3.990	15.395	0.239
4.000	15.395	0.239
4.010	15.395	0.239
4.020	15.396	0.239
4.030	15.396	0.239
4.040	15.384	0.239
4.050	15.384	0.239
4.060	15.385	0.239
4.070	15.385	0.239
4.080	15.385	0.239
4.090	15.386	0.239
4.100	15.386	0.239
4.110	15.387	0.239
4.120	15.387	0.239
4.130	15.387	0.239
4.140	15.388	0.239
4.150	15.388	0.239
4.160	15.388	0.239
4.170	15.389	0.239
4.180	15.389	0.239
4.190	15.390	0.239
4.200	15.390	0.239
4.210	15.391	0.239
4.220	15.391	0.239
4.230	15.391	0.239
4.240	15.391	0.239
4.250	15.392	0.239
4.260	15.392	0.239
4.270	15.393	0.239
4.280	15.393	0.239
4.290	15.394	0.239
4.300	15.394	0.239
4.310	15.394	0.239
4.320	15.395	0.239
4.330	15.395	0.239
4.340	15.396	0.239
4.350	15.396	0.239
4.360	15.396	0.239
4.370	15.384	0.239
4.380	15.384	0.239
4.390	15.385	0.239
4.400	15.385	0.239
4.410	15.385	0.239
4.420	15.386	0.239
4.430	15.386	0.239
4.440	15.387	0.239
4.450	15.387	0.239
4.460	15.388	0.239
4.470	15.388	0.239
4.480	15.388	0.239
4.490	15.388	0.239
4.500	15.389	0.239
4.510	15.389	0.239
4.520	15.390	0.239
4.530	15.390	0.239
4.540	15.391	0.239
4.550	15.391	0.239
4.560	15.391	0.239
4.570	15.392	0.239
4.580	15.392	0.239
4.590	15.393	0.239
4.600	15.393	0.239
4.610	15.393	0.239
4.620	15.394	0.239
4.630	15.394	0.239
4.640	15.394	0.239
4.650	15.395	0.239
4.660	15.395	0.239
4.670	15.396	0.239
4.680	15.396	0.239
4.690	15.397	0.239
4.700	15.384	0.239
4.710	15.385	0.239
4.720	15.385	0.239
4.730	15.385	0.239
4.740	15.385	0.239
4.750	15.386	0.239
4.760	15.386	0.239
4.770	15.387	0.239
4.780	15.387	0.239
4.790	15.388	0.239
4.800	15.388	0.239
4.810	15.388	0.239
4.820	15.389	0.239
4.830	15.389	0.239
4.840	15.389	0.239
4.850	15.390	0.239
4.860	15.390	0.239
4.870	15.391	0.239
4.880	15.391	0.239
4.890	15.391	0.239
4.900	15.392	0.239
4.910	15.392	0.239
4.920	15.393	0.239
