Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.830	27.875	0.239
4.840	27.841	0.239
4.850	27.781	0.239
4.860	27.678	0.239
4.870	27.541	0.239
4.880	27.378	0.239
4.890	27.172	0.239
4.900	26.944	0.239
4.910	26.695	0.239
4.920	26.425	0.239
4.930	26.137	0.239
4.940	25.819	0.239
4.950	25.502	0.239
4.960	25.175	0.239
4.970	24.840	0.239
4.980	24.497	0.239
4.990	24.149	0.239
5.000	23.801	0.239
5.010	23.453	0.239
5.020	23.114	0.239
5.030	22.779	0.239
5.040	22.452	0.239
5.050	22.143	0.239
5.060	21.842	0.239
5.070	21.563	0.239
5.080	21.306	0.239
5.090	21.074	0.239
5.100	20.855	0.239
5.110	20.666	0.239
5.120	20.508	0.239
5.130	20.379	0.239
5.140	20.272	0.239
5.150	20.199	0.239
5.160	20.161	0.239
5.170	20.152	0.239
5.180	20.179	0.239
5.190	20.231	0.239
5.200	20.321	0.239
5.210	20.438	0.239
5.220	20.580	0.239
5.230	20.761	0.239
5.240	20.955	0.239
5.250	21.183	0.239
5.260	21.433	0.239
5.270	21.696	0.239
5.280	21.980	0.239
5.290	22.286	0.239
5.300	22.604	0.239
5.310	22.935	0.239
5.320	23.275	0.239
5.330	23.620	0.239
5.340	23.969	0.239
5.350	24.317	0.239
5.360	24.662	0.239
5.370	25.006	0.239
5.380	25.337	0.239
5.390	25.660	0.239
5.400	25.966	0.239
5.410	26.259	0.239
5.420	26.530	0.239
5.430	26.780	0.239
5.440	27.012	0.239
5.450	27.215	0.239
5.460	27.391	0.239
5.470	27.538	0.239
5.480	27.659	0.239
5.490	27.749	0.239
5.500	27.806	0.239
5.510	27.832	0.239
5.520	27.828	0.239
5.530	27.790	0.239
5.540	27.726	0.239
5.550	27.627	0.239
5.560	27.494	0.239
5.570	27.340	0.239
5.580	27.155	0.239
5.590	26.945	0.239
5.600	26.709	0.239
5.610	26.438	0.239
5.620	26.159	0.239
5.630	25.863	0.239
5.640	25.549	0.239
5.650	25.227	0.239
5.660	24.892	0.239
5.670	24.553	0.239
5.680	24.209	0.239
5.690	23.862	0.239
5.700	23.514	0.239
5.710	23.170	0.239
5.720	22.835	0.239
5.730	22.509	0.239
5.740	22.195	0.239
5.750	21.894	0.239
5.760	21.615	0.239
5.770	21.358	0.239
5.780	21.117	0.239
5.790	20.894	0.239
5.800	20.710	0.239
5.810	20.542	0.239
5.820	20.414	0.239
5.830	20.302	0.239
5.840	20.225	0.239
5.850	20.183	0.239
5.860	20.170	0.239
5.870	20.188	0.239
5.880	20.235	0.239
5.890	20.313	0.239
