Motion Sensor Data File Oct 31, 2023 3:55 PM
Time (s)	Distance (cm)	Dist Error (cm)
9.950	16.890	0.239
9.960	16.890	0.239
9.970	16.891	0.239
9.980	16.891	0.239
9.990	16.892	0.239
10.000	16.892	0.239
10.010	16.893	0.239
10.020	16.893	0.239
10.030	16.880	0.239
10.040	16.881	0.239
10.050	16.881	0.239
10.060	16.881	0.239
10.070	16.886	0.239
10.080	16.887	0.239
10.090	16.887	0.239
10.100	16.887	0.239
10.110	16.887	0.239
10.120	16.888	0.239
10.130	16.888	0.239
10.140	16.889	0.239
10.150	16.889	0.239
10.160	16.889	0.239
10.170	16.890	0.239
10.180	16.890	0.239
10.190	16.890	0.239
10.200	16.891	0.239
10.210	16.887	0.239
10.220	16.887	0.239
10.230	16.888	0.239
10.240	16.888	0.239
10.250	16.888	0.239
10.260	16.889	0.239
10.270	16.889	0.239
10.280	16.890	0.239
10.290	16.890	0.239
10.300	16.895	0.239
10.310	16.895	0.239
10.320	16.895	0.239
10.330	16.896	0.239
10.340	16.900	0.239
10.350	16.901	0.239
10.360	16.901	0.239
10.370	16.902	0.239
10.380	16.889	0.239
10.390	16.889	0.239
10.400	16.890	0.239
10.410	16.890	0.239
10.420	16.890	0.239
10.430	16.891	0.239
10.440	16.887	0.239
10.450	16.887	0.239
10.460	16.887	0.239
10.470	16.888	0.239
10.480	16.888	0.239
10.490	16.889	0.239
10.500	16.889	0.239
10.510	16.885	0.239
10.520	16.886	0.239
10.530	16.890	0.239
10.540	16.890	0.239
10.550	16.891	0.239
10.560	16.891	0.239
10.570	16.892	0.239
10.580	16.892	0.239
10.590	16.893	0.239
10.600	16.897	0.239
10.610	16.893	0.239
10.620	16.898	0.239
10.630	16.898	0.239
10.640	16.899	0.239
10.650	16.899	0.239
10.660	16.899	0.239
10.670	16.900	0.239
10.680	16.900	0.239
10.690	16.900	0.239
10.700	16.896	0.239
10.710	16.897	0.239
10.720	16.884	0.239
10.730	16.885	0.239
10.740	16.881	0.239
10.750	16.881	0.239
10.760	16.881	0.239
10.770	16.882	0.239
10.780	16.882	0.239
10.790	16.883	0.239
10.800	16.887	0.239
10.810	16.888	0.239
10.820	16.888	0.239
10.830	16.888	0.239
10.840	16.889	0.239
10.850	16.889	0.239
10.860	16.890	0.239
10.870	16.890	0.239
10.880	16.895	0.239
10.890	16.895	0.239
10.900	16.891	0.239
10.910	16.896	0.239
10.920	16.896	0.239
10.930	16.892	0.239
10.940	16.893	0.239
10.950	16.893	0.239
10.960	16.893	0.239
10.970	16.893	0.239
10.980	16.894	0.239
10.990	16.894	0.239
11.000	16.890	0.239
11.010	16.891	0.239
11.020	16.891	0.239
11.030	16.896	0.239
11.040	16.896	0.239
11.050	16.896	0.239
11.060	16.897	0.239
11.070	16.884	0.239
11.080	16.885	0.239
11.090	16.885	0.239
11.100	16.890	0.239
11.110	16.890	0.239
11.120	16.890	0.239
11.130	16.891	0.239
11.140	16.891	0.239
11.150	16.892	0.239
11.160	16.892	0.239
11.170	16.893	0.239
11.180	16.893	0.239
11.190	16.893	0.239
11.200	16.893	0.239
11.210	16.890	0.239
11.220	16.890	0.239
11.230	16.890	0.239
11.240	16.891	0.239
11.250	16.887	0.239
11.260	16.887	0.239
11.270	16.887	0.239
11.280	16.888	0.239
11.290	16.888	0.239
11.300	16.889	0.239
11.310	16.889	0.239
11.320	16.890	0.239
11.330	16.894	0.239
11.340	16.890	0.239
11.350	16.895	0.239
11.360	16.895	0.239
11.370	16.896	0.239
11.380	16.896	0.239
11.390	16.901	0.239
11.400	16.901	0.239
11.410	16.897	0.239
11.420	16.884	0.239
11.430	16.889	0.239
11.440	16.885	0.239
11.450	16.886	0.239
11.460	16.886	0.239
11.470	16.887	0.239
11.480	16.887	0.239
11.490	16.887	0.239
11.500	16.883	0.239
11.510	16.884	0.239
11.520	16.884	0.239
